domain,email,url
www.hhs.gov,support@responsibledisclosure.com,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,SecureOne.HHS@HHS.gov,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.hhs.gov,HHS.Cybersecurity@hhs.gov,https://www.hhs.gov/vulnerability-disclosure-policy/index.html
www.cdc.gov,privacy@cdc.gov,https://www.cdc.gov/other/privacy.html
www.cdc.gov,508helpdesk@cdc.gov,https://www.cdc.gov/other/accessibility.html
www.cdc.gov,visitor@email.com,https://www.cdc.gov/other/accessibility.html
www.cdc.gov,media@cdc.gov,https://www.cdc.gov/cdc-info/index.html
www.cdc.gov,hrcs@cdc.gov,https://www.cdc.gov/cdc-info/index.html
www.cdc.gov,subscriptions@cdc.gov,https://www.cdc.gov/Other/emailupdates/
tools.cdc.gov,IMTech@cdc.gov,https://tools.cdc.gov/medialibrary/index.aspx
